"Timestamp","Gender","Age","Did you play PUBG before the ban?","If yes, then the number of average hours you played pubg in a day?","Are you happy with the ban on PUBG?","Are you against the ban of pubg?","Are you shifting towards any other game after the ban on pubg?","Which games are you shifting towards after the ban on pubg?","Can any of these games replace pubg?","Are you excited about FAU-G( Indian rival to PUBG Mobile (releasing soon))","Will you play FAU-G( Indian rival to PUBG Mobile (releasing soon))?","If yes then why will you play the FAU-G game?"
"2020/09/05 12:25:00 am GMT+5:30","Male","21","Yes","0-1","no","Yes","No","","Nothing can replace pubg","no","No",""
"2020/09/05 12:28:36 am GMT+5:30","Male","19","Yes","0-1","yes","no","Yes","","Call of Duty Mobile;Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:29:29 am GMT+5:30","Male","21","Yes","1-2","no","Yes","No","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:29:41 am GMT+5:30","Male","21","Yes","0-1","yes","Yes","No","","","no","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:29:44 am GMT+5:30","Male","21","Yes","1-2","no","Yes","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:29:55 am GMT+5:30","Male","17","Yes","0-1","no","no","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:31:09 am GMT+5:30","Male","21","No","","yes","no","Yes","","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:31:15 am GMT+5:30","Male","21","Yes","2-3","yes","no","No","","Nothing can replace pubg","Yes","No",""
"2020/09/05 12:33:14 am GMT+5:30","Male","20","No","","yes","no","No","","Call of Duty Mobile","Yes","No",""
"2020/09/05 12:33:36 am GMT+5:30","Male","21","Yes","0-1","yes","Yes","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:33:59 am GMT+5:30","Male","21","Yes","0-1","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:34:34 am GMT+5:30","Female","21","No","","yes","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 12:39:15 am GMT+5:30","Male","21","Yes","2-3","no","no","Maybe","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:39:39 am GMT+5:30","Female","21","No","","yes","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:40:55 am GMT+5:30","Male","23","Yes","0-1","yes","no","Yes","Garena Free Fire","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:41:00 am GMT+5:30","Male","21","No","","no","no","","","Call of Duty Mobile","Yes","No",""
"2020/09/05 12:42:03 am GMT+5:30","Male","21","Yes","1-2","yes","no","Yes","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 12:42:35 am GMT+5:30","Female","14","Yes","0-1","yes","no","No","","","no","No",""
"2020/09/05 12:45:18 am GMT+5:30","Male","21","Yes","2-3","yes","no","Yes","Call of Duty Mobile","Call of Duty Mobile","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:48:57 am GMT+5:30","Male","21","Yes","1-2","yes","no","Yes","Call of Duty Mobile","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:50:14 am GMT+5:30","Male","19","No","","yes","no","","","Call of Duty Mobile","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 12:53:16 am GMT+5:30","Male","20","Yes","0-1","no","Yes","No","","Nothing can replace pubg","no","No",""
"2020/09/05 12:53:36 am GMT+5:30","Male","22","Yes","2-3","no","Yes","Yes","Fortnite Battle Royale","Nothing can replace pubg","no","No",""
"2020/09/05 12:54:14 am GMT+5:30","Male","21","Yes","1-2","no","no","Yes","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:59:17 am GMT+5:30","Male","21","Yes","1-2","no","no","Maybe","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:11:06 am GMT+5:30","Male","18","Yes","1-2","yes","no","Maybe","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:11:33 am GMT+5:30","Male","21","No","","yes","no","","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:14:33 am GMT+5:30","Male","21","Yes","2-3","yes","no","Maybe","","Nothing can replace pubg","no","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:22:37 am GMT+5:30","Male","23","No","","yes","no","No","","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","no","No",""
"2020/09/05 1:36:14 am GMT+5:30","Male","20","Yes","1-2","no","no","Maybe","Call of Duty Mobile","Nothing can replace pubg","Yes","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:37:30 am GMT+5:30","Male","21","No","2-3","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","no","No",""
"2020/09/05 1:42:09 am GMT+5:30","Male","20","Yes","0-1","no","no","Maybe","Call of Duty Mobile","Call of Duty Mobile","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:52:10 am GMT+5:30","Male","20","No","0-1","no","no","No","","Call of Duty Mobile","no","No",""
"2020/09/05 1:53:54 am GMT+5:30","Male","21","Yes","0-1","no","no","No","","","no","Yes",""
"2020/09/05 2:02:02 am GMT+5:30","Male","20","Yes","0-1","no","no","Maybe","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 2:08:53 am GMT+5:30","Female","25","No","","yes","no","","","","no","No",""
"2020/09/05 4:31:09 am GMT+5:30","Male","21","Yes","1-2","no","Yes","Yes","Fortnite Battle Royale","Nothing can replace pubg","no","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 6:49:56 am GMT+5:30","Male","17","No","","yes","no","Maybe","","Call of Duty Mobile","no","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 7:18:15 am GMT+5:30","Male","20","No","","yes","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 7:19:46 am GMT+5:30","Male","20","Yes","0-1","yes","no","Maybe","Garena Free Fire","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 7:46:07 am GMT+5:30","Female","20","No","0-1","yes","no","Maybe","Fortnite Battle Royale","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 7:50:34 am GMT+5:30","Male","20","Yes","1-2","yes","no","Maybe","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 7:51:45 am GMT+5:30","Male","20","Yes","1-2","no","Yes","Yes","Fortnite Battle Royale","Call of Duty Mobile","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 7:55:23 am GMT+5:30","Male","20","Yes","1-2","no","no","Yes","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 8:04:23 am GMT+5:30","Male","19","Yes","2-3","no","Yes","No","","Nothing can replace pubg","no","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 8:08:58 am GMT+5:30","Male","21","No","","yes","no","","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 8:11:38 am GMT+5:30","Male","21","Yes","1-2","no","no","Maybe","Call of Duty Mobile","Nothing can replace pubg","no","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 8:11:39 am GMT+5:30","Male","20","No","0-1","yes","no","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 8:21:25 am GMT+5:30","Male","22","No","","yes","no","No","","","no","No",""
"2020/09/05 8:23:04 am GMT+5:30","Male","20","Yes","0-1","yes","no","No","","","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 8:28:57 am GMT+5:30","Male","19","No","0-1","yes","no","No","","","no","No",""
"2020/09/05 8:30:13 am GMT+5:30","Male","21","Yes","2-3","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","no","No","to support atma nirbhar bharat moment only"
"2020/09/05 8:33:51 am GMT+5:30","Male","22","Yes","2-3","no","no","No","Call of Duty Mobile","Call of Duty Mobile","no","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 8:36:50 am GMT+5:30","Male","20","Yes","0-1","yes","no","Maybe","Garena Free Fire","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 8:42:36 am GMT+5:30","Male","20","No","","yes","no","","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 8:54:21 am GMT+5:30","Male","19","No","1-2","yes","no","Yes","Call of Duty Mobile","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 9:01:21 am GMT+5:30","Male","21","Yes","0-1","yes","no","No","","","no","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 9:17:37 am GMT+5:30","Male","21","No","0-1","yes","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","No","to support atma nirbhar bharat moment only"
"2020/09/05 9:17:40 am GMT+5:30","Male","22","Yes","0-1","yes","no","No","","Nothing can replace pubg","no","No",""
"2020/09/05 9:19:05 am GMT+5:30","Male","21","Yes","1-2","yes","no","Maybe","","","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 9:26:38 am GMT+5:30","Male","21","No","","yes","no","No","","Call of Duty Mobile","no","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 9:27:25 am GMT+5:30","Female","21","Yes","0-1","yes","no","Yes","Call of Duty Mobile","Call of Duty Mobile","Yes","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 9:28:48 am GMT+5:30","Male","19","Yes","1-2","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 9:29:31 am GMT+5:30","Male","21","Yes","2-3","no","no","Yes","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 9:36:04 am GMT+5:30","Male","21","No","","yes","no","No","","Call of Duty Mobile","Yes","No","to support atma nirbhar bharat moment only"
"2020/09/05 9:38:55 am GMT+5:30","Male","20","Yes","2-3","no","Yes","No","","","no","No",""
"2020/09/05 9:45:06 am GMT+5:30","Female","21","Yes","1-2","no","Yes","Maybe","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 9:47:24 am GMT+5:30","Male","21","No","","yes","no","","","","no","No",""
"2020/09/05 9:53:09 am GMT+5:30","Male","21","Yes","2-3","no","no","No","","Nothing can replace pubg","no","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 9:54:43 am GMT+5:30","Female","21","Yes","1-2","no","no","Yes","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 9:54:54 am GMT+5:30","Male","21 ","Yes","1-2","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","no","No",""
"2020/09/05 9:55:18 am GMT+5:30","Male","22","Yes","1-2","no","no","No","Call of Duty Mobile","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","no","No",""
"2020/09/05 9:58:58 am GMT+5:30","Male","22","Yes","0-1","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 9:59:56 am GMT+5:30","Female","23","Yes","0-1","no","no","Maybe","Call of Duty Mobile","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 10:02:04 am GMT+5:30","Female","19","No","0-1","yes","Yes","Maybe","Garena Free Fire","Garena Free Fire;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 10:03:31 am GMT+5:30","Female","21","No","0-1","yes","no","No","Call of Duty Mobile","Call of Duty Mobile","no","No",""
"2020/09/05 10:09:16 am GMT+5:30","Male","20","Yes","1-2","no","Yes","Maybe","Call of Duty Mobile","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 10:09:44 am GMT+5:30","Male","23","Yes","2-3","yes","no","Maybe","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 10:10:34 am GMT+5:30","Male","102","Yes","2-3","no","Yes","No","Fortnite Battle Royale","Nothing can replace pubg","no","No",""
"2020/09/05 10:14:03 am GMT+5:30","Male","22","Yes","0-1","yes","no","No","","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","no","No","to support atma nirbhar bharat moment only"
"2020/09/05 10:21:23 am GMT+5:30","Male","25","No","","yes","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 10:23:57 am GMT+5:30","Male","20","Yes","0-1","yes","no","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 10:29:03 am GMT+5:30","Male","22","Yes","2-3","no","no","Yes","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 10:30:39 am GMT+5:30","Male","20","Yes","0-1","yes","no","","Call of Duty Mobile","Call of Duty Mobile","no","No",""
"2020/09/05 10:32:01 am GMT+5:30","Female","22","Yes","0-1","no","no","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 10:34:26 am GMT+5:30","Male","20","Yes","2-3","no","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon);Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 10:34:52 am GMT+5:30","Male","21","Yes","1-2","yes","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 10:44:13 am GMT+5:30","Male","21","Yes","0-1","yes","no","Maybe","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 10:46:27 am GMT+5:30","Male","21","Yes","0-1","no","Yes","No","Call of Duty Mobile","Call of Duty Mobile","no","No",""
"2020/09/05 10:55:56 am GMT+5:30","Female","21","No","","yes","no","No","","","no","No",""
"2020/09/05 11:01:53 am GMT+5:30","Male","22","No","","yes","no","","","","Yes","Yes",""
"2020/09/05 11:01:59 am GMT+5:30","Female","20","No","","no","Yes","Maybe","","","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 11:06:27 am GMT+5:30","Male","22","Yes","0-1","yes","no","No","","Call of Duty Mobile","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 11:06:48 am GMT+5:30","Male","22","Yes","0-1","yes","no","Maybe","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
